run time,execution length,total mop/s
2013-02-18 09:00:00,4.26,1813.78
2013-02-18 12:00:00,3.82,2020.50
2013-02-18 15:00:00,4.24,1819.83
2013-02-18 18:00:00,4.35,1776.29
2013-02-18 21:00:00,4.32,1786.54
2013-02-19 00:00:00,4.44,1737.01
2013-02-19 03:00:00,4.68,1648.97
2013-02-19 06:00:00,3.94,1957.82
2013-02-19 09:00:00,3.94,1958.63
2013-02-19 12:00:00,4.24,1818.89
2013-02-19 15:00:00,4.03,1913.61
2013-02-19 18:00:00,4.06,1903.03
2013-02-19 21:00:00,4.02,1922.37
2013-02-20 00:00:00,4.06,1901.91
2013-02-20 03:00:00,4.40,1755.54
2013-02-20 06:00:00,3.98,1938.07
2013-02-20 09:00:00,4.25,1815.81
2013-02-20 12:00:00,4.10,1884.28
2013-02-20 15:00:00,3.76,2052.84
2013-02-20 18:00:00,4.26,1810.46
2013-02-20 21:00:00,4.49,1720.85
2013-02-21 00:00:00,3.83,2015.72
2013-02-21 03:00:00,3.77,2045.13
2013-02-21 06:00:00,3.72,2077.48
2013-02-21 09:00:00,3.91,1974.14
2013-02-21 12:00:00,3.92,1970.63
2013-02-21 15:00:00,3.85,2006.08
2013-02-21 18:00:00,4.42,1745.27
2013-02-21 21:00:00,4.35,1775.77
2013-02-22 00:00:00,3.79,2036.01
2013-02-22 03:00:00,4.27,1806.20
2013-02-22 06:00:00,4.16,1855.12
2013-02-22 09:00:00,4.13,1869.85
2013-02-22 12:00:00,4.10,1880.65
2013-02-22 15:00:00,3.80,2033.48
2013-02-22 18:00:00,3.64,2120.86
2013-02-22 21:00:00,4.35,1775.87
2013-02-23 00:00:00,3.77,2047.23
2013-02-23 03:00:00,3.62,2129.98
2013-02-23 06:00:00,3.79,2039.13
2013-02-23 09:00:00,3.76,2055.36
2013-02-23 12:00:00,3.84,2012.15
2013-02-23 15:00:00,3.92,1971.08
2013-02-23 18:00:00,3.68,2100.23
2013-02-23 21:00:00,4.21,1835.20
2013-02-24 00:00:00,4.38,1760.69
2013-02-24 03:00:00,3.84,2008.27
2013-02-24 06:00:00,3.85,2003.93
2013-02-24 09:00:00,4.05,1907.98
2013-02-24 12:00:00,4.14,1863.01
2013-02-24 15:00:00,4.26,1813.00
2013-02-24 18:00:00,4.29,1798.46
2013-02-24 21:00:00,4.34,1779.78
2013-02-25 00:00:00,4.39,1756.69
2013-02-25 03:00:00,4.37,1765.53
2013-02-25 06:00:00,3.86,1997.13
2013-02-25 09:00:00,4.00,1931.13
2013-02-25 12:00:00,4.26,1811.13
2013-02-25 15:00:00,3.80,2033.42
2013-02-25 18:00:00,3.73,2066.95
2013-02-25 21:00:00,3.96,1948.41
2013-02-26 00:00:00,3.94,1959.33
2013-02-26 03:00:00,4.05,1906.48
2013-02-26 06:00:00,4.13,1871.21
2013-02-26 09:00:00,4.05,1905.60
2013-02-26 12:00:00,3.94,1960.85
2013-02-26 15:00:00,3.61,2137.68
2013-02-26 18:00:00,3.87,1994.47
2013-02-26 21:00:00,3.90,1980.43
2013-02-27 00:00:00,3.82,2022.87
2013-02-27 03:00:00,3.85,2002.83
2013-02-27 06:00:00,3.93,1966.19
2013-02-27 09:00:00,3.95,1954.84
2013-02-27 12:00:00,3.86,2001.43
2013-02-27 15:00:00,3.86,1999.07
2013-02-27 18:00:00,4.05,1906.98
2013-02-27 21:00:00,3.77,2049.33
2013-02-28 00:00:00,3.83,2016.05
2013-02-28 03:00:00,3.65,2114.83
2013-02-28 06:00:00,3.85,2005.15
2013-02-28 09:00:00,3.89,1984.12
2013-02-28 12:00:00,3.83,2016.62
2013-02-28 15:00:00,3.77,2047.73
2013-02-28 18:00:00,3.72,2073.58
2013-02-28 21:00:00,3.85,2007.22
2013-03-01 00:00:00,4.60,1677.56
2013-03-01 03:00:00,3.88,1989.56
2013-03-01 06:00:00,3.87,1995.25
2013-03-01 09:00:00,3.85,2002.46
2013-03-01 12:00:00,3.86,1999.47
2013-03-01 15:00:00,3.71,2078.99
2013-03-01 18:00:00,3.92,1971.36
2013-03-01 21:00:00,3.74,2061.31
2013-03-02 00:00:00,3.75,2057.12
2013-03-02 03:00:00,3.81,2025.95
2013-03-02 06:00:00,4.20,1838.64
2013-03-02 09:00:00,3.72,2076.11
2013-03-02 12:00:00,3.74,2063.02
2013-03-02 15:00:00,3.70,2084.97
2013-03-02 18:00:00,3.83,2014.44
2013-03-02 21:00:00,3.75,2058.18
2013-03-03 00:00:00,3.82,2018.70
2013-03-03 03:00:00,3.58,2158.65
2013-03-03 06:00:00,4.00,1927.84
2013-03-03 09:00:00,3.92,1967.10
2013-03-03 12:00:00,3.83,2013.41
2013-03-03 15:00:00,3.96,1950.17
2013-03-03 18:00:00,3.72,2075.80
2013-03-03 21:00:00,3.70,2086.70
2013-03-04 00:00:00,3.89,1984.17
